date, pm25, pm10, no2
2023/2/20, , 21, 12
2023/2/21, , 14, 12
2023/2/22, , 45, 12
2023/2/23, , 14, 7
2023/2/24, , 13, 4
2023/2/25, , 10, 9
2023/2/26, , 18, 20
2023/2/27, , 32, 17
2023/2/28, , 36, 16
2023/3/1, , 40, 12
2023/3/2, , 35, 8
2023/3/3, , 34, 4
2023/3/4, , 21, 7
2023/3/5, , 26, 15
2023/3/6, , 36, 11
2023/3/7, , 24, 7
2023/3/8, , 6, 15
2023/3/9, , 11, 17
2023/3/10, , 13, 19
2023/3/11, , 29, 10
2023/3/12, , 34, 12
2023/3/13, , 21, 11
2023/3/14, , 13, 10
2023/3/15, , 27, 21
2023/3/16, , 53, 11
2023/3/17, , 38, 4
2023/3/18, , 16, 10
2023/3/19, , 10, 7
2023/3/20, , 8, 11
2023/3/21, , 28, 5
2023/3/22, , 12, 8
2023/3/23, , 42, 8
2023/3/24, , 25, 5
2023/3/25, , 5, 6
2023/3/26, , 19, 7
2023/3/27, , 7, 
2022/10/1, , 10, 9
2022/10/2, , 12, 13
2022/10/3, , 19, 10
2022/10/4, , 15, 4
2022/10/5, , 12, 4
2022/10/6, , 11, 4
2022/10/7, , 13, 5
2022/10/8, , 8, 5
2022/10/9, , 6, 5
2022/10/10, , 12, 7
2022/10/11, , 9, 12
2022/10/12, , 13, 7
2022/10/13, , 14, 11
2022/10/14, , 19, 8
2022/10/15, , 14, 4
2022/10/16, , 7, 8
2022/10/17, , 13, 13
2022/10/18, , 9, 12
2022/10/19, , 13, 14
2022/10/20, , 17, 10
2022/10/21, , 15, 9
2022/10/22, , 14, 11
2022/10/23, , 12, 5
2022/10/24, , 13, 7
2022/10/25, , 10, 7
2022/10/26, , 10, 6
2022/10/27, , 20, 5
2022/10/28, , 14, 3
2022/10/29, , 7, 11
2022/10/30, , 12, 7
2022/10/31, , 15, 11
2022/11/1, , 20, 9
2022/11/2, , 22, 10
2022/11/3, , 26, 10
2022/11/4, , 20, 6
2022/11/5, , 11, 3
2022/11/6, , 8, 5
2022/11/7, , 12, 8
2022/11/8, , 11, 5
2022/11/9, , 14, 6
2022/11/10, , 19, 4
2022/11/11, , 15, 6
2022/11/12, , 22, 9
2022/11/13, , 20, 9
2022/11/14, , 15, 5
2022/11/15, , 15, 7
2022/11/16, , 24, 7
2022/11/17, , 16, 8
2022/11/18, , 15, 3
2022/11/19, , 10, 4
2022/11/20, , 5, 4
2022/11/21, , 6, 7
2022/11/22, , 13, 5
2022/11/23, , 7, 5
2022/11/24, , 7, 10
2022/11/25, , 9, 10
2022/11/26, , 10, 10
2022/11/27, , 8, 7
2022/11/28, , 9, 7
2022/11/29, , 10, 12
2022/11/30, , 14, 9
2022/12/1, , 7, 10
2022/12/2, , 16, 5
2022/12/3, , 21, 10
2022/12/4, , 15, 15
2022/12/5, , 32, 16
2022/12/6, , 22, 17
2022/12/7, , 16, 17
2022/12/8, , 12, 18
2022/12/9, , 9, 8
2022/12/10, , 6, 7
2022/12/11, , 7, 7
2022/12/12, , 6, 1
2022/12/13, , 4, 6
2022/12/14, , 6, 16
2022/12/15, , 6, 18
2022/12/16, , 7, 9
2022/12/17, , 7, 5
2022/12/18, , 10, 11
2022/12/19, , 15, 8
2022/12/20, , 8, 8
2022/12/21, , 9, 6
2022/12/22, , 7, 10
2022/12/23, , 11, 11
2022/12/24, , 6, 9
2022/12/25, , 6, 7
2022/12/26, , 11, 6
2022/12/27, , 7, 10
2022/12/28, , 8, 7
2022/12/29, , 8, 4
2022/12/30, , 7, 1
2022/12/31, , 8, 13
2023/1/1, , 10, 15
2022/7/1, , 19, 13
2022/7/2, , 12, 8
2022/7/3, , 14, 11
2022/7/4, , 18, 7
2022/7/5, , 10, 6
2022/7/6, , 13, 7
2022/7/7, , 17, 6
2022/7/8, , 17, 4
2022/7/9, , 8, 3
2022/7/10, , 9, 7
2022/7/11, , 16, 6
2022/7/12, , 15, 5
2022/7/13, , 23, 4
2022/7/14, , 12, 3
2022/7/15, , 12, 1
2022/7/16, , 8, 1
2022/7/17, , 7, 3
2022/7/18, , 15, 5
2022/7/19, , 20, 3
2022/7/20, , 19, 9
2022/7/21, , 28, 3
2022/7/22, , 21, 4
2022/7/23, , 7, 3
2022/7/24, , 9, 3
2022/7/25, , 15, 3
2022/7/26, , 10, 5
2022/7/27, , 11, 4
2022/7/28, , 10, 5
2022/7/29, , 12, 2
2022/7/30, , 10, 2
2022/7/31, , 11, 4
2022/8/1, , 17, 4
2022/8/2, , 17, 1
2022/8/3, , 13, 5
2022/8/4, , 18, 5
2022/8/5, , 20, 3
2022/8/6, , 9, 3
2022/8/7, , 9, 5
2022/8/8, , 16, 5
2022/8/9, , 21, 4
2022/8/10, , 19, 6
2022/8/11, , 15, 7
2022/8/12, , 22, 6
2022/8/13, , 16, 7
2022/8/14, , 17, 6
2022/8/15, , 26, 
2022/8/17, , 28, 11
2022/8/18, , 25, 10
2022/8/19, , 30, 17
2022/8/20, , 23, 14
2022/8/21, , 12, 11
2022/8/22, , 16, 11
2022/8/23, , 22, 9
2022/8/24, , 18, 10
2022/8/25, , 26, 7
2022/8/26, , 24, 7
2022/8/27, , 28, 6
2022/8/28, , 6, 5
2022/8/29, , 8, 10
2022/8/30, , 9, 9
2022/8/31, , 11, 10
2022/9/1, , 11, 11
2022/9/2, , 10, 11
2022/9/3, , 9, 8
2022/9/4, , 7, 15
2022/9/5, , 15, 14
2022/9/6, , 15, 10
2022/9/7, , 14, 10
2022/9/8, , 19, 3
2022/9/9, , 18, 5
2022/9/10, , 16, 12
2022/9/11, , 15, 13
2022/9/12, , 20, 12
2022/9/13, , 12, 11
2022/9/14, , 8, 10
2022/9/15, , 9, 9
2022/9/16, , 8, 6
2022/9/17, , 5, 6
2022/9/18, , 5, 6
2022/9/19, , 7, 8
2022/9/20, , 9, 14
2022/9/21, , 16, 12
2022/9/22, , 15, 9
2022/9/23, , 14, 11
2022/9/24, , 14, 10
2022/9/25, , 12, 12
2022/9/26, , 10, 7
2022/9/27, , 13, 2
2022/9/28, , 9, 9
2022/9/29, , 10, 11
2022/9/30, , 13, 9
2022/4/1, , 21, 17
2022/4/2, , 27, 10
2022/4/3, , 23, 10
2022/4/4, , 11, 8
2022/4/5, , 17, 11
2022/4/6, , 37, 5
2022/4/7, , 3, 8
2022/4/8, , 7, 6
2022/4/9, , 5, 7
2022/4/10, , 19, 18
2022/4/11, , 47, 19
2022/4/12, , 66, 17
2022/4/13, , 59, 11
2022/4/14, , 16, 6
2022/4/15, , 16, 12
2022/4/16, , 26, 9
2022/4/17, , 24, 9
2022/4/18, , 26, 10
2022/4/19, , 34, 11
2022/4/20, , 47, 6
2022/4/21, , 27, 10
2022/4/22, , 25, 6
2022/4/23, , 14, 5
2022/4/24, , 13, 16
2022/4/25, , 37, 12
2022/4/26, , 26, 15
2022/4/27, , 27, 13
2022/4/28, , 23, 16
2022/4/29, , 22, 10
2022/4/30, , 15, 11
2022/5/1, , 16, 9
2022/5/2, , 31, 10
2022/5/3, , 19, 13
2022/5/4, , 25, 8
2022/5/5, , 25, 11
2022/5/6, , 25, 9
2022/5/7, , 14, 9
2022/5/8, , 16, 8
2022/5/9, , 23, 9
2022/5/10, , 33, 8
2022/5/11, , 20, 8
2022/5/12, , 20, 10
2022/5/13, , 20, 9
2022/5/14, , 14, 9
2022/5/15, , 15, 12
2022/5/16, , 26, 11
2022/5/17, , 35, 14
2022/5/18, , 36, 14
2022/5/19, , 34, 8
2022/5/20, , 13, 7
2022/5/21, , 14, 
2022/5/23, , 29, 14
2022/5/24, , 35, 10
2022/5/25, , 22, 10
2022/5/26, , 15, 10
2022/5/27, , 11, 10
2022/5/28, , 7, 10
2022/5/29, , 12, 7
2022/5/30, , 16, 12
2022/5/31, , 12, 8
2022/6/1, , 15, 12
2022/6/2, , 9, 7
2022/6/3, , 14, 8
2022/6/4, , 14, 4
2022/6/5, , 12, 6
2022/6/6, , 15, 8
2022/6/7, , 20, 8
2022/6/8, , 20, 11
2022/6/9, , 20, 12
2022/6/10, , 23, 7
2022/6/11, , 13, 5
2022/6/12, , 14, 8
2022/6/13, , 16, 12
2022/6/14, , 20, 13
2022/6/15, , 19, 12
2022/6/16, , 24, 12
2022/6/17, , 16, 7
2022/6/18, , 11, 8
2022/6/19, , 11, 8
2022/6/20, , 15, 11
2022/6/21, , 17, 13
2022/6/22, , 20, 6
2022/6/23, , 16, 6
2022/6/24, , 13, 8
2022/6/25, , 19, 8
2022/6/26, , 24, 15
2022/6/27, , 35, 13
2022/6/28, , 32, 12
2022/6/29, , 25, 8
2022/6/30, , 25, 12
2022/1/3, , 4, 9
2022/1/4, , 5, 7
2022/1/5, , 4, 8
2022/1/6, , 6, 12
2022/1/7, , 6, 6
2022/1/8, , 8, 5
